FECHA;NRO_TOTAL_VEHICULOS
1/01/2018;0
2/01/2018;611
3/01/2018;700
4/01/2018;717
5/01/2018;746
6/01/2018;221
7/01/2018;2
8/01/2018;30
9/01/2018;671
10/01/2018;770
11/01/2018;788
12/01/2018;821
13/01/2018;243
14/01/2018;2
15/01/2018;585
16/01/2018;738
17/01/2018;846
18/01/2018;866
19/01/2018;902
20/01/2018;267
21/01/2018;3
22/01/2018;642
23/01/2018;811
24/01/2018;930
25/01/2018;952
26/01/2018;991
27/01/2018;294
28/01/2018;3
29/01/2018;706
30/01/2018;892
31/01/2018;1022
1/02/2018;689
2/02/2018;717
3/02/2018;212
4/02/2018;2
5/02/2018;511
6/02/2018;645
7/02/2018;739
8/02/2018;757
9/02/2018;788
10/02/2018;233
11/02/2018;2
12/02/2018;562
13/02/2018;709
14/02/2018;813
15/02/2018;832
16/02/2018;867
17/02/2018;257
18/02/2018;2
19/02/2018;617
20/02/2018;780
21/02/2018;893
22/02/2018;915
23/02/2018;953
24/02/2018;282
25/02/2018;3
26/02/2018;679
27/02/2018;857
28/02/2018;982
1/03/2018;788
2/03/2018;821
3/03/2018;243
4/03/2018;2
5/03/2018;585
6/03/2018;738
7/03/2018;846
8/03/2018;866
9/03/2018;902
10/03/2018;267
11/03/2018;3
12/03/2018;643
13/03/2018;811
14/03/2018;930
15/03/2018;952
16/03/2018;992
17/03/2018;294
18/03/2018;3
19/03/2018;40
20/03/2018;892
21/03/2018;1022
22/03/2018;1047
23/03/2018;1090
24/03/2018;323
25/03/2018;2
26/03/2018;391
27/03/2018;494
28/03/2018;566
29/03/2018;580
30/03/2018;604
31/03/2018;179
1/04/2018;2
2/04/2018;562
3/04/2018;709
4/04/2018;813
5/04/2018;833
6/04/2018;867
7/04/2018;257
8/04/2018;2
9/04/2018;618
10/04/2018;780
11/04/2018;894
12/04/2018;915
13/04/2018;953
14/04/2018;282
15/04/2018;3
16/04/2018;679
17/04/2018;857
18/04/2018;982
19/04/2018;1006
20/04/2018;1047
21/04/2018;310
22/04/2018;3
23/04/2018;746
24/04/2018;942
25/04/2018;1080
26/04/2018;1106
27/04/2018;1151
28/04/2018;341
29/04/2018;3
30/04/2018;820
1/05/2018;41
2/05/2018;828
3/05/2018;848
4/05/2018;883
5/05/2018;261
6/05/2018;2
7/05/2018;629
8/05/2018;794
9/05/2018;910
10/05/2018;932
11/05/2018;971
12/05/2018;287
13/05/2018;0
14/05/2018;39
15/05/2018;873
16/05/2018;1001
17/05/2018;1025
18/05/2018;1067
19/05/2018;316
20/05/2018;3
21/05/2018;760
22/05/2018;960
23/05/2018;1100
24/05/2018;1126
25/05/2018;1173
26/05/2018;347
27/05/2018;3
28/05/2018;835
29/05/2018;1055
30/05/2018;1209
31/05/2018;1238
1/06/2018;848
2/06/2018;251
3/06/2018;2
4/06/2018;34
5/06/2018;763
6/06/2018;875
7/06/2018;896
8/06/2018;933
9/06/2018;276
10/06/2018;3
11/06/2018;37
12/06/2018;839
13/06/2018;961
14/06/2018;985
15/06/2018;1025
16/06/2018;304
17/06/2018;3
18/06/2018;730
19/06/2018;922
20/06/2018;1057
21/06/2018;1082
22/06/2018;1127
23/06/2018;334
24/06/2018;3
25/06/2018;803
26/06/2018;1014
27/06/2018;1162
28/06/2018;1190
29/06/2018;1239
30/06/2018;367
